track_name,artist_name,track_play_count
It's Not Living (If It's Not With You),The 1975,214
Chocolate,The 1975,189
This Year,The Mountain Goats,186
I Was a Teenage Anarchist,Against Me!,171
TOOTIMETOOTIMETOOTIME,The 1975,162
Give Yourself A Try,The 1975,152
Pristine,Snail Mail,152
Love Love Love,The Mountain Goats,142
Dancing In the Dark,Bruce Springsteen,141
Up the Wolves,The Mountain Goats,135
High Hopes,Panic! At The Disco,131
Night Shift,Lucy Dacus,130
The Sound,The 1975,130
Sicilian Crest,The Mountain Goats,129
Love It If We Made It,The 1975,128
Your Dog,Soccer Mommy,127
Maybe You're the Reason,The Japanese House,126
No Children,The Mountain Goats,125
Lakeside View Apartments Suite,The Mountain Goats,124
I Wanna Get Better,Bleachers,123
Born to Run,Bruce Springsteen,119
Let’s Get Lost,Carly Rae Jepsen,116
LA Devotee,Panic! At The Disco,114
The City,The 1975,110
Heat Wave,Snail Mail,108
Southwestern Territory,The Mountain Goats,108
How to Be a Heartbreaker,MARINA,107
Dance Music,The Mountain Goats,107
Rain in Soho,The Mountain Goats,106
The Ship in Port,Radical Face,106
Bang Bang,Jessie J,103
Dreams - 2004 Remaster,Fleetwood Mac,101
Thrash Unreal,Against Me!,101
circle the drain,Soccer Mommy,100
Wildflowers,The Wailin' Jennys,98
Transgender Dysphoria Blues,Against Me!,95
Walking on Broken Glass,Annie Lennox,93
Done Bleeding,The Mountain Goats,93
Everybody Wants To Rule The World,Tears For Fears,92
Sincerity Is Scary,The 1975,92
Slut Game Strong,Cheap Perfume,91
bad guy,Billie Eilish,91
Rain On Me (with Ariana Grande),Lady Gaga,90
Kyoto,Phoebe Bridgers,90
Lovin' Is Bible,The Aces,89
Skin,Soccer Mommy,89
Speaking Terms,Snail Mail,89
Addictions,Lucy Dacus,89
I Really Like You,Carly Rae Jepsen,88
Heartbeats,José González,86
Little Death,The Beths,86
The Legend of Chavo Guerrero,The Mountain Goats,85
She Way Out,The 1975,85
Shut Up and Dance,WALK THE MOON,84
Volcanic Love,The Aces,84
Imagining You,On the Sun,84
I Don't Wanna Be Funny Anymore,Lucy Dacus,84
Recovery,Frank Turner,81
Go Your Own Way - 2004 Remaster,Fleetwood Mac,81
Secrets (Cellar Door),Radical Face,81
Daydream,The Aces,79
House on Fire,Tall Heights,79
Favourite Colour,Carly Rae Jepsen,79
Wear Black,The Mountain Goats,79
Tempo (feat. Missy Elliott),Lizzo,79
Souvenir,Julien Baker,79
Say Amen (Saturday Night),Panic! At The Disco,78
"Hey Look Ma, I Made It",Panic! At The Disco,78
Here Comes The Sun - Remastered 2009,The Beatles,78
Faith - Remastered,George Michael,77
Good as Hell,Lizzo,77
Girls,The 1975,76
Heel Turn 2,The Mountain Goats,76
High Horse,Kacey Musgraves,75
Eye Of The Hurricane,David Wilcox,73
Dancing's Not a Crime,Panic! At The Disco,73
Anna Sun,WALK THE MOON,72
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,72
7 rings,Ariana Grande,72
California Love - Original Version,2Pac,72
Make Me Feel,Janelle Monáe,70
Clemency for the Wizard King,The Mountain Goats,70
Boys,Lizzo,70
Younger,The Mountain Goats,70
We Do It Different on the West Coast,The Mountain Goats,70
Slow Burn,Kacey Musgraves,70
Nonbeliever,Lucy Dacus,70
you should see me in a crown,Billie Eilish,69
The Chain - 2004 Remaster,Fleetwood Mac,69
Autoclave,The Mountain Goats,69
Roaring 20s,Panic! At The Disco,69
She's American,The 1975,68
DONTTRUSTME,3OH!3,68
Amy aka Spent Gladiator 1,The Mountain Goats,68
Don't Stop - 2004 Remaster,Fleetwood Mac,68
You Make My Dreams (Come True),Daryl Hall & John Oates,68
The Wire,HAIM,68
Settle Down,The 1975,68
Nicotine,Panic! At The Disco,68
Forbidden Knowledge (feat. Big K.R.I.T.),Raury,67
Work Bitch,Britney Spears,66
Light of a Clear Blue Morning,The Wailin' Jennys,65
True Trans Soul Rebel,Against Me!,65
White Crosses,Against Me!,65
Rusty Old American Dream,David Wilcox,65
When I Kissed The Teacher,Lily James,64
Bangarang (feat. Sirah),Skrillex,64
Light On,Maggie Rogers,64
Rather Be (feat. Jess Glynne),Clean Bandit,63
Next of Kin,Lucy Dacus,63
The Man,Taylor Swift,63
Paris,The 1975,63
Somebody Else,The 1975,63
Scorpio Rising,Soccer Mommy,63
Songbird - 2004 Remaster,Fleetwood Mac,62
A Sky Full of Stars,Coldplay,62
Captain Hook,Megan Thee Stallion,62
Future Nostalgia,Dua Lipa,62
Waving Through A Window,Ben Platt,62
Leave It Like It Is,David Wilcox,61
Fuckmylife666,Against Me!,61
Second Hand News - 2004 Remaster,Fleetwood Mac,61
Shelved,The Mountain Goats,61
Roll with It,On the Sun,61
House of Memories,Panic! At The Disco,61
Dog Days Are Over,Florence + The Machine,60
Girls in the Hood,Megan Thee Stallion,59
Tap In,Saweetie,59
Fight Like a Girl,Cheap Perfume,59
The 1975,The 1975,59
Todo se transforma,Jorge Drexler,59
Andrew Eldritch Is Moving Back to Leeds,The Mountain Goats,58
Garden Song,Phoebe Bridgers,58
Damn These Vampires,The Mountain Goats,58
Valley of the Dolls,MARINA,58
If Your Prayers Don't Get To Heaven,Brian Fallon,57
I Did Something Bad,Taylor Swift,57
Plain Sailing Weather,Frank Turner,57
Hungry Heart,Bruce Springsteen,57
Keep Ya Head Up,2Pac,57
The Luckiest,Ben Folds,57
Blossom (Wasting All My Time),Soccer Mommy,57
Golden Hour,Kacey Musgraves,56
Chinese Satellite,Phoebe Bridgers,56
Something Just Like This,The Chainsmokers,56
Poltergeist,Hi-Fi Gentry,56
Delicate,Taylor Swift,55
