input_name,matched_name,spotify_id,genres
Lorn,Lorna Shore,6vXYoy8ouRVib302zxaxFF,"deathcore, death metal, metal, metalcore"
Hailee Steinfeld,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,
Britney Spears,Britney Spears,26dSoYclwsYLMAKD3tpOr4,pop
Little Mix,Little Mix,3e7awlrlDSwF3iM0WBjGMp,
Talking Heads,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,"new wave, post-punk"
fun.,fun.,5nCi3BB41mBaMH9gfr6Su0,
Coldplay,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,
Bastille,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,
Macklemore & Ryan Lewis,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,
The Aces,The Aces,2AmfMGi3WZMxqFDHissIAe,
Phil Collins,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,soft rock
Lady Gaga,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"art pop, pop"
Molchat Doma,Molchat Doma,1nVq0hKIVReeaiB3xJgKf0,"post-punk, darkwave, cold wave"
Rick Arena,Rick Arena,6VNu7T77rq5v76M4pzaRwD,"schlagerparty, schlager"
Ginger Root,Ginger Root,4UAW69682T7N0wrABUhqx0,city pop
Parcels,Parcels,3oKRxpszQKUjjaHz388fVA,
Sofi Tukker,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,
The 1975,The 1975,3mIj9lX2MWuHmhNCA7LSCW,
Kendrick Lamar,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"hip hop, west coast hip hop"
The Japanese House,The Japanese House,3IunaFjvNKj98JW89JYv9u,
The Mountain Goats,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,"folk punk, indie folk"
3OH!3,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,
Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,
Fugazi,Fugazi,62sC6lUEWRjbFqXpMmOk4G,"post-hardcore, punk, noise rock, hardcore punk"
Saweetie,Saweetie,6cK3NBO6uP7hh0oyuVELFl,
Van Halen,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,"glam metal, classic rock, rock, hard rock"
Annie Lennox,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,synthpop
GROUPLOVE,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,indie
Hi-Fi Gentry,Hi-Fi Gentry,50AIkUV84DC2LV2ZsRtlAp,
Gilipojazz,Gilipojazz,47TWGbbKU5JYIzlySwkFK4,
Marbin,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,"motown, soul, northern soul, quiet storm"
Richie Kotzen,Richie Kotzen,6nYo7m5cO64bANRvilwVBb,"blues rock, funk rock, modern blues"
Nicki Minaj,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,
José González,José González,6xrCU6zdcSTsG2hLrojpmI,indie folk
Sufjan Stevens,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,"chamber pop, baroque pop"
The Wailin' Jennys,The Wailin' Jennys,331QVEZKK1yz5KhYiR2pBj,"bluegrass, folk, newgrass, americana"
Rockapella,Rockapella,1AFSUleuDTapVhm5zUf4ix,
Relient K,Relient K,3nJWBJvK7uGvfp4iZh9CkN,"christian rock, christian alternative rock, pop punk"
The Cure,The Cure,7bu3H8JO7d0UbMoVzbo70s,"new wave, post-punk, darkwave"
Runaway Droid,Runaway Droid,3Ek1ULLo4QcO4JKEelaedq,"synthwave, chillwave"
Bleachers,Bleachers,2eam0iDomRHGBypaDQLwWI,
La Roux,La Roux,3K2zB87GZv1krx031en5VA,
Bowling For Soup,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb,"pop punk, punk"
Taylor Swift,Taylor Swift,06HL4z0CvFAxyc27GXpf02,
Phillipa Soo,Phillipa Soo,2OEGI2wrCVmvavKEOMlccy,musicals
Will Smith,Will Smith,41qil2VaGbD194gaEcmmyx,
Running 150 BPM,Running 150 BPM,24OhttT7KfffxFcSENxWUL,
Steroid Puppets,Steroid Puppets,1v39hJJ604GsEZWEqhrTko,
Florence + The Machine,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,baroque pop
The Spinto Band,The Spinto Band,2aB0EWdEH6BcGTbUfYAqqD,
